"","date","MTR_NUMBER","conload","imp"
"347",2021-04-13,"USS 0009070",576,2.8
"348",2021-04-13,"USS 0009072",576,5.4
"349",2021-04-13,"USS 0009073",576,5.52
"350",2021-04-13,"USS 0009074",576,5.52
"351",2021-04-13,"USS 0009075",576,5.5
"352",2021-04-13,"USS 0009076",576,5.5
"353",2021-04-13,"USS 0015695",576,2.32
"354",2021-04-13,"USS 0017113",192,4
"355",2021-04-13,"USS 0017137",768,0
"356",2021-04-13,"USS 0017138",576,11.2
"357",2021-04-13,"USS 0020686",192,0
"358",2021-04-13,"USS 0020707",768,49.52
"359",2021-04-13,"UST 0000711",1248,30.34
"360",2021-04-13,"UST 0000712",1248,20.54
"361",2021-04-13,"UST 0000713",1248,18.1
"362",2021-04-13,"UST 0002019",1248,17.84
"363",2021-04-13,"UST 0002020",1248,15.08
"364",2021-04-13,"UST 0002021",NA,289.94
"365",2021-04-14,"USS 0004903",384,7.86
"366",2021-04-14,"USS 0004927",384,10.32
"367",2021-04-14,"USS 0004949",384,4.36
"368",2021-04-14,"USS 0004966",384,5.68
"369",2021-04-14,"USS 0005019",576,7.36
"370",2021-04-14,"USS 0008953",576,4.58
"371",2021-04-14,"USS 0008983",576,9.7
"372",2021-04-14,"USS 0009044",576,8.54
"373",2021-04-14,"USS 0009063",576,6.78
"374",2021-04-14,"USS 0009067",576,5.18
"375",2021-04-14,"USS 0009070",576,2.98
"376",2021-04-14,"USS 0009072",576,5.42
"377",2021-04-14,"USS 0009073",576,5.52
"378",2021-04-14,"USS 0009074",576,5.52
"379",2021-04-14,"USS 0009075",576,5.54
"380",2021-04-14,"USS 0009076",576,5.52
"381",2021-04-14,"USS 0015695",576,2.48
"382",2021-04-14,"USS 0017113",192,3.16
"383",2021-04-14,"USS 0017137",768,0
"384",2021-04-14,"USS 0017138",576,0.62
"385",2021-04-14,"USS 0020686",192,0
"386",2021-04-14,"USS 0020707",768,48.1
"387",2021-04-14,"UST 0000711",1248,28.5
"388",2021-04-14,"UST 0000712",1248,19.26
"389",2021-04-14,"UST 0000713",1248,19.06
"390",2021-04-14,"UST 0002019",1248,18.72
"391",2021-04-14,"UST 0002020",1248,18.14
