"","date","CATEGORY","conload","imp"
"538",2021-09-27,"MSI",6336,87.17
"539",2021-09-27,"Residential",1920,30.37
"540",2021-09-27,"Water Works",NA,174.29
"541",2021-09-28,"MSI",6336,84.61
"542",2021-09-28,"Residential",1920,32.63
"543",2021-09-28,"Water Works",NA,153.91
"544",2021-09-29,"MSI",6336,81.26
"545",2021-09-29,"Residential",1920,32.73
"546",2021-09-29,"Water Works",NA,147.66
"547",2021-09-30,"MSI",6336,83.69
"548",2021-09-30,"Residential",1920,27.68
"549",2021-09-30,"Water Works",NA,179.9
"550",2021-10-01,"MSI",6336,83.53
"551",2021-10-01,"Residential",1920,33.1
"552",2021-10-01,"Water Works",NA,184.86
"553",2021-10-02,"MSI",6336,82
"554",2021-10-02,"Residential",1920,33.41
"555",2021-10-02,"Water Works",NA,141.66
"556",2021-10-03,"MSI",6336,75.64
"557",2021-10-03,"Residential",1920,38.47
"558",2021-10-03,"Water Works",NA,140.43
"559",2021-10-04,"MSI",6336,82.37
"560",2021-10-04,"Residential",1920,37.31
"561",2021-10-04,"Water Works",NA,215.01
"562",2021-10-05,"MSI",6336,88.96
"563",2021-10-05,"Residential",1920,34
"564",2021-10-05,"Water Works",NA,158.32
"565",2021-10-06,"MSI",6336,89.14
"566",2021-10-06,"Residential",1920,36.39
"567",2021-10-06,"Water Works",NA,130.66
"568",2021-10-07,"MSI",6336,95.79
"569",2021-10-07,"Residential",1920,37.13
"570",2021-10-07,"Water Works",NA,189.99
"571",2021-10-08,"MSI",6336,99.69
"572",2021-10-08,"Residential",1920,34.4
"573",2021-10-08,"Water Works",NA,143.24
"574",2021-10-09,"MSI",6271.5,94.78
"575",2021-10-09,"Residential",1902,36.02
"576",2021-10-09,"Water Works",NA,196.77
"577",2021-10-10,"MSI",6336,99.11
"578",2021-10-10,"Residential",1920,31.22
"579",2021-10-10,"Water Works",NA,141.08
"580",2021-10-11,"MSI",6336,98.75
"581",2021-10-11,"Residential",1920,28.66
"582",2021-10-11,"Water Works",NA,169.41
"583",2021-10-12,"MSI",6336,94.5
"584",2021-10-12,"Residential",1920,28.97
"585",2021-10-12,"Water Works",NA,151.61
"586",2021-10-13,"MSI",6336,97.42
"587",2021-10-13,"Residential",1920,27.47
"588",2021-10-13,"Water Works",NA,181.89
"589",2021-10-14,"MSI",6336,93.65
"590",2021-10-14,"Residential",1920,25.18
"591",2021-10-14,"Water Works",NA,195.57
"592",2021-10-15,"MSI",6336,97.74
"593",2021-10-15,"Residential",1920,24.71
"594",2021-10-15,"Water Works",NA,107.91
"595",2021-10-16,"MSI",6336,83.31
"596",2021-10-16,"Residential",1920,27.11
"597",2021-10-16,"Water Works",NA,165.62
"598",2021-10-17,"MSI",6336,80.7
"599",2021-10-17,"Residential",1920,28.07
"600",2021-10-17,"Water Works",NA,153.82
"601",2021-10-18,"MSI",6268.5,82.04
"602",2021-10-18,"Residential",1904,27.42
"603",2021-10-18,"Water Works",NA,154.8
"604",2021-10-19,"MSI",6325.5,83.98
"605",2021-10-19,"Residential",1916,28.36
"606",2021-10-19,"Water Works",NA,133.28
"607",2021-10-20,"MSI",6336,83.39
"608",2021-10-20,"Residential",1920,27.34
"609",2021-10-20,"Water Works",NA,193.71
"610",2021-10-21,"MSI",6336,85.63
"611",2021-10-21,"Residential",1920,26.57
"612",2021-10-21,"Water Works",NA,166.45
"613",2021-10-22,"MSI",6336,89.95
"614",2021-10-22,"Residential",1920,24.64
"615",2021-10-22,"Water Works",NA,168.62
"616",2021-10-23,"MSI",6336,83.14
"617",2021-10-23,"Residential",1920,23.77
"618",2021-10-23,"Water Works",NA,152.22
"619",2021-10-24,"MSI",6336,82.34
"620",2021-10-24,"Residential",1920,22.01
"621",2021-10-24,"Water Works",NA,162.23
"622",2021-10-25,"MSI",6317,83.77
"623",2021-10-25,"Residential",1904,23.4
